id_evento,fecha_hora,tipo_evento,id_usuario,id_producto,categoria_producto,monto_transaccion,ubicacion,estado_operativo,canal_origen
EVT-0000001,2025-11-30 14:04:01,TRANSACCION_VENTA,USR-45587,PRD-166,Deportes,473.05,Santiago,N/A,Sucursal Fisica
EVT-0000002,2025-10-29 07:08:26,LOGISTICA_ENVIO,USR-1059,PRD-217,Electronica,0.0,Antofagasta,En_Bodega,Portal Web B2C
EVT-0000003,2025-08-27 13:38:47,TRANSACCION_VENTA,USR-82082,PRD-679,Deportes,476.32,La Serena,N/A,Mobile App
EVT-0000004,2025-03-27 17:15:08,LOGISTICA_ENVIO,USR-74839,PRD-252,Alimentacion,0.0,La Serena,En_Ruta,Sucursal Fisica
EVT-0000005,2025-11-20 10:53:38,TRANSACCION_VENTA,USR-35769,PRD-551,Alimentacion,1488.82,Valparaiso,N/A,Sucursal Fisica
EVT-0000006,2025-12-20 14:57:37,REGISTRO_CLIENTE,USR-55396,,,0.0,Santiago,N/A,Portal Web B2C
EVT-0000007,2025-08-09 01:22:11,TRANSACCION_VENTA,USR-52487,PRD-643,Alimentacion,333.76,Concepcion,N/A,Mobile App
EVT-0000008,2025-07-31 16:42:27,TRANSACCION_VENTA,USR-10900,PRD-899,Moda,200.85,La Serena,N/A,Mobile App
EVT-0000009,2025-07-12 20:49:08,TRANSACCION_VENTA,USR-37211,PRD-884,Alimentacion,1295.17,Valparaiso,N/A,Mobile App
EVT-0000010,2025-05-20 00:43:03,SOPORTE_TICKET,USR-98832,,,0.0,La Serena,Devolucion,Sucursal Fisica
EVT-0000011,2025-07-28 07:03:10,TRANSACCION_VENTA,USR-84089,PRD-955,Deportes,1149.02,Concepcion,N/A,Mobile App
EVT-0000012,2025-09-19 01:06:49,SOPORTE_TICKET,USR-47975,,,0.0,La Serena,Devolucion,Mobile App
EVT-0000013,2025-08-16 13:23:31,LOGISTICA_ENVIO,USR-78475,PRD-349,Hogar,0.0,Santiago,Entregado,Sucursal Fisica
EVT-0000014,2025-05-14 23:15:24,TRANSACCION_VENTA,USR-43011,PRD-840,Moda,168.24,Santiago,N/A,Portal Web B2C
EVT-0000015,2025-11-09 22:28:37,TRANSACCION_VENTA,USR-44236,PRD-995,Electronica,645.2,Valparaiso,N/A,Sucursal Fisica
EVT-0000016,2025-11-17 11:00:20,SOPORTE_TICKET,USR-19103,,,0.0,Santiago,Reclamo_Garantia,Mobile App
EVT-0000017,2025-06-19 10:14:36,REGISTRO_CLIENTE,USR-54793,,,0.0,Santiago,N/A,Sucursal Fisica
EVT-0000018,2025-03-13 15:13:45,LOGISTICA_ENVIO,USR-42782,PRD-673,Alimentacion,0.0,Santiago,En_Ruta,Sucursal Fisica
EVT-0000019,2025-11-09 08:51:10,TRANSACCION_VENTA,USR-46763,PRD-388,Deportes,789.19,Santiago,N/A,Sucursal Fisica
EVT-0000020,2025-03-28 22:23:04,LOGISTICA_ENVIO,USR-80625,PRD-406,Deportes,0.0,Valparaiso,Retrasado,Sucursal Fisica
EVT-0000021,2025-02-26 17:28:37,LOGISTICA_ENVIO,USR-18906,PRD-160,Hogar,0.0,Santiago,Entregado,Portal Web B2C
EVT-0000022,2025-05-20 16:43:01,TRANSACCION_VENTA,USR-25137,PRD-761,Hogar,743.0,La Serena,N/A,Sucursal Fisica
EVT-0000023,2025-05-07 00:14:58,LOGISTICA_ENVIO,USR-56840,PRD-639,Electronica,0.0,Antofagasta,Retrasado,Sucursal Fisica
EVT-0000024,2025-01-13 13:04:14,TRANSACCION_VENTA,USR-26638,PRD-591,Hogar,805.73,Antofagasta,N/A,Sucursal Fisica
EVT-0000025,2025-03-12 16:45:25,TRANSACCION_VENTA,USR-76509,PRD-424,Hogar,270.49,La Serena,N/A,Mobile App
EVT-0000026,2025-10-19 20:07:08,LOGISTICA_ENVIO,USR-1982,PRD-875,Alimentacion,0.0,Valparaiso,Retrasado,Portal Web B2C
EVT-0000027,2025-01-24 09:20:44,SOPORTE_TICKET,USR-18846,,,0.0,Antofagasta,Facturacion,Portal Web B2C
EVT-0000028,2026-01-04 09:11:48,TRANSACCION_VENTA,USR-71394,PRD-647,Deportes,1066.89,Concepcion,N/A,Mobile App
EVT-0000029,2025-10-26 05:24:02,SOPORTE_TICKET,USR-66513,,,0.0,Concepcion,Consulta,Sucursal Fisica
EVT-0000030,2025-02-02 19:08:43,REGISTRO_CLIENTE,USR-23695,,,0.0,Antofagasta,N/A,Portal Web B2C
EVT-0000031,2025-02-22 04:44:11,SOPORTE_TICKET,USR-31260,,,0.0,Concepcion,Reclamo_Garantia,Mobile App
EVT-0000032,2025-03-23 00:28:42,TRANSACCION_VENTA,USR-1446,PRD-255,Hogar,1170.68,Santiago,N/A,Mobile App
EVT-0000033,2025-01-19 21:02:02,TRANSACCION_VENTA,USR-20049,PRD-948,Alimentacion,240.66,Santiago,N/A,Sucursal Fisica
EVT-0000034,2026-01-19 23:00:10,SOPORTE_TICKET,USR-77224,,,0.0,Concepcion,Reclamo_Garantia,Mobile App
EVT-0000035,2025-03-28 15:07:08,REGISTRO_CLIENTE,USR-33643,,,0.0,Concepcion,N/A,Sucursal Fisica
EVT-0000036,2025-10-24 08:43:11,TRANSACCION_VENTA,USR-13287,PRD-156,Hogar,1013.12,Concepcion,N/A,Mobile App
EVT-0000037,2025-07-29 12:39:21,TRANSACCION_VENTA,USR-30344,PRD-601,Deportes,493.97,La Serena,N/A,Mobile App
EVT-0000038,2026-01-25 11:34:28,LOGISTICA_ENVIO,USR-29716,PRD-156,Hogar,0.0,Santiago,Retrasado,Mobile App
EVT-0000039,2025-02-19 21:14:46,TRANSACCION_VENTA,USR-14617,PRD-873,Deportes,1341.27,Concepcion,N/A,Sucursal Fisica
EVT-0000040,2025-09-09 06:35:46,LOGISTICA_ENVIO,USR-78306,PRD-508,Hogar,0.0,Santiago,En_Bodega,Portal Web B2C
