id_evento,fecha_hora,tipo_evento,id_usuario,id_producto,categoria_producto,monto_transaccion,ubicacion,estado_operativo,canal_origen,dias_entrega,tramo_regional,costo_soporte
EVT-0000001,2025-10-09 11:08:58,TRANSACCION_VENTA,USR-98257,PRD-676,Deportes,422.9,Santiago,N/A,Mobile App,0,Centro,0.0
EVT-0000002,2025-12-28 03:24:42,TRANSACCION_VENTA,USR-19295,PRD-534,Moda,923.48,Concepcion,N/A,Portal Web B2C,0,Sur,0.0
EVT-0000003,2025-07-29 02:00:25,TRANSACCION_VENTA,USR-44177,PRD-616,Alimentacion,1138.71,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000004,2025-05-29 21:11:52,TRANSACCION_VENTA,USR-45841,PRD-639,Hogar,435.32,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000005,2025-08-25 08:32:49,TRANSACCION_VENTA,USR-89214,PRD-655,Alimentacion,815.7,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000006,2025-05-16 12:10:21,TRANSACCION_VENTA,USR-58057,PRD-433,Hogar,907.39,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000007,2025-09-11 15:00:06,TRANSACCION_VENTA,USR-84134,PRD-531,Hogar,699.28,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000008,2026-02-01 01:07:17,TRANSACCION_VENTA,USR-69700,PRD-196,Deportes,1078.59,Concepcion,N/A,Portal Web B2C,0,Sur,0.0
EVT-0000009,2025-11-27 09:31:09,TRANSACCION_VENTA,USR-33125,PRD-509,Moda,971.38,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000010,2025-03-25 20:14:38,TRANSACCION_VENTA,USR-52673,PRD-506,Electronica,175.67,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000011,2025-09-13 20:52:17,TRANSACCION_VENTA,USR-63661,PRD-472,Electronica,1190.92,La Serena,N/A,Portal Web B2C,0,Norte,0.0
EVT-0000012,2025-05-11 11:56:10,TRANSACCION_VENTA,USR-79560,PRD-457,Deportes,1469.6,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000013,2025-12-12 03:59:12,TRANSACCION_VENTA,USR-31331,PRD-268,Moda,1422.27,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000014,2025-08-31 02:58:39,TRANSACCION_VENTA,USR-9849,PRD-230,Moda,287.34,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000015,2025-03-11 07:22:07,TRANSACCION_VENTA,USR-76889,PRD-649,Moda,55.01,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000016,2025-11-28 21:48:41,TRANSACCION_VENTA,USR-84336,PRD-946,Electronica,1036.61,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000017,2025-05-04 10:20:15,TRANSACCION_VENTA,USR-60570,PRD-476,Hogar,158.27,Santiago,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000018,2025-02-27 06:55:05,TRANSACCION_VENTA,USR-76155,PRD-849,Electronica,1087.16,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000019,2025-10-05 23:24:13,TRANSACCION_VENTA,USR-91387,PRD-162,Hogar,275.85,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000020,2025-09-22 01:11:57,TRANSACCION_VENTA,USR-50076,PRD-584,Alimentacion,820.59,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000021,2025-03-02 08:05:22,TRANSACCION_VENTA,USR-88540,PRD-112,Electronica,1461.61,Valparaiso,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000022,2025-02-07 15:41:25,TRANSACCION_VENTA,USR-71154,PRD-915,Hogar,497.42,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000023,2026-01-14 16:31:16,TRANSACCION_VENTA,USR-33694,PRD-644,Electronica,782.43,Valparaiso,N/A,Sucursal Fisica,0,Centro,0.0
EVT-0000024,2025-10-19 15:15:06,TRANSACCION_VENTA,USR-38264,PRD-875,Moda,266.93,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000025,2025-07-07 07:31:11,TRANSACCION_VENTA,USR-76570,PRD-463,Moda,121.07,La Serena,N/A,Mobile App,0,Norte,0.0
EVT-0000026,2025-05-07 17:59:26,TRANSACCION_VENTA,USR-61840,PRD-116,Moda,276.28,Antofagasta,N/A,Sucursal Fisica,0,Norte,0.0
EVT-0000027,2025-05-10 01:08:53,TRANSACCION_VENTA,USR-19765,PRD-474,Deportes,1177.63,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000028,2025-06-17 20:24:43,TRANSACCION_VENTA,USR-83468,PRD-992,Alimentacion,948.42,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000029,2026-02-03 01:24:01,TRANSACCION_VENTA,USR-98058,PRD-865,Deportes,277.78,Concepcion,N/A,Sucursal Fisica,0,Sur,0.0
EVT-0000030,2025-12-14 00:55:53,TRANSACCION_VENTA,USR-89623,PRD-965,Electronica,1136.59,Santiago,N/A,Portal Web B2C,0,Centro,0.0
EVT-0000031,2025-08-16 15:26:10,TRANSACCION_VENTA,USR-71581,PRD-590,Alimentacion,606.79,Concepcion,N/A,Mobile App,0,Sur,0.0
EVT-0000032,2025-06-04 14:50:16,TRANSACCION_VENTA,USR-59863,PRD-673,Alimentacion,234.66,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000033,2025-10-25 03:07:16,TRANSACCION_VENTA,USR-84015,PRD-943,Electronica,1431.59,Valparaiso,N/A,Mobile App,0,Centro,0.0
EVT-0000034,2026-01-10 21:52:09,TRANSACCION_VENTA,USR-36450,PRD-434,Electronica,755.71,Antofagasta,N/A,Mobile App,0,Norte,0.0
EVT-0000035,2025-01-26 15:49:40,TRANSACCION_VENTA,USR-54685,PRD-947,Deportes,54.61,La Serena,N/A,Mobile App,0,Norte,0.0
